"Step","DQN_TempoRL_CliffWalking_19 - eval/avg_reward","DQN_TempoRL_CliffWalking_19 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_19 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_18 - eval/avg_reward","DQN_TempoRL_CliffWalking_18 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_18 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_17 - eval/avg_reward","DQN_TempoRL_CliffWalking_17 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_17 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_16 - eval/avg_reward","DQN_TempoRL_CliffWalking_16 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_16 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_15 - eval/avg_reward","DQN_TempoRL_CliffWalking_15 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_15 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_14 - eval/avg_reward","DQN_TempoRL_CliffWalking_14 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_14 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_13 - eval/avg_reward","DQN_TempoRL_CliffWalking_13 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_13 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_12 - eval/avg_reward","DQN_TempoRL_CliffWalking_12 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_12 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_11 - eval/avg_reward","DQN_TempoRL_CliffWalking_11 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_11 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_10 - eval/avg_reward","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_9 - eval/avg_reward","DQN_TempoRL_CliffWalking_9 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_9 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_8 - eval/avg_reward","DQN_TempoRL_CliffWalking_8 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_8 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_7 - eval/avg_reward","DQN_TempoRL_CliffWalking_7 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_7 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_6 - eval/avg_reward","DQN_TempoRL_CliffWalking_6 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_6 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_5 - eval/avg_reward","DQN_TempoRL_CliffWalking_5 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_5 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_4 - eval/avg_reward","DQN_TempoRL_CliffWalking_4 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_4 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_3 - eval/avg_reward","DQN_TempoRL_CliffWalking_3 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_3 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_2 - eval/avg_reward","DQN_TempoRL_CliffWalking_2 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_2 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_1 - eval/avg_reward","DQN_TempoRL_CliffWalking_1 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_1 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_0 - eval/avg_reward","DQN_TempoRL_CliffWalking_0 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_0 - eval/avg_reward__MAX"
"3000","-100","-100","-100","-100","-100","-100","-15","-15","-15","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3300","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-15","-15","-15","-15","-15","-15","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3600","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-19","-19","-19","-100","-100","-100","-100","-100","-100","-15","-15","-15","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3900","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-15","-15","-15","-100","-100","-100","-14","-14","-14","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-14","-14","-14","-13","-13","-13"
"4200","-100","-100","-100","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-14","-14","-14","-100","-100","-100","-100","-100","-100","-100","-100","-100","-14","-14","-14","-100","-100","-100","-15","-15","-15","-13","-13","-13"
"4500","-100","-100","-100","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-14","-14","-14"
"4800","-100","-100","-100","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-17","-17","-17","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"5100","-100","-100","-100","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-14","-14","-14","-100","-100","-100","-13","-13","-13","-17","-17","-17","-16","-16","-16","-13","-13","-13"
"5400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-114","-114","-114","-16","-16","-16","-13","-13","-13"
"5700","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-14","-14","-14","-100","-100","-100","-13","-13","-13","-17","-17","-17","-16","-16","-16","-13","-13","-13"
"6000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-14","-14","-14","-16","-16","-16","-16","-16","-16","-13","-13","-13"
"6300","-13","-13","-13","-13","-13","-13","-26","-26","-26","-19","-19","-19","-13","-13","-13","-100","-100","-100","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13"
"6600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-19","-19","-19","-15","-15","-15","-13","-13","-13"
"6900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"7200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13"
"7500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"7800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13"
"8100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13"
"8400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9300","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9600","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10200","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10500","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
